ABI	двайковы праґрамны інтэрфэйс	Application Binary Interface
accessibility	даступнасьць
accessory	прыналежнасьць
AccountAuthenticators	АпазнавальнікіРахунку
AccountManagerService	СлужбаКіравацьРахункам
AccountManager	КіраўнікРахункаў
Accounts & sync	Рахункі ды сынхранізаваньне
Accounts&Sync	Рахункі ды сынхранізаваньне
accounts	рахункі
account	рахунак
account	рахунак -ку
activities	дзейнасьці
activity	дзейнасьць
Add account	«Дадаць рахунак»
added	новы
Additional Privacy Policy	дадатковыя правілы адасобленасьці
adjust	настаўляць
administration	кіраваньне
administration	кіраўніцтва
administrators	кіраўнікі
administrator	кіраўнік
ads	рэкляма
Advanced WiFi	Адмысловыя налады Wi-Fi
advanced	адмысловы
ADW.Launcher	Пускач ADW
ad	абвестка
again	зноўку
alarm clock	буднік
alarms	будзькі
alarm	будзька
album	альбом -у
alerts	папярэджаньні
alert	папярэджаньне
always	заўжды
AM	перад паўднём
Android Beam	Перадатчык (Android Beam)
Android Beam	Прамень (Android Beam)
Android File Transfer	праґрама абменьвацца файламі
animated	ажыўляць
animations	ажыўленьні
animation	ажыўленьне
animation	анімацыя
APN	пункт доступу
applications	праграмы
application	праграма
apply	ужыць
appointments	сустрэчы
apps	праґрамы
app	праґрама
archive	архіваваць
Are you sure you want to	Ці ўпэўненыя вы, што хочаце
artists	выканаўцы
artist	выканаўца
assign	прызначаць
attached	залучаны
attachments	залучнікі
attachment	залучнік -а
attach	залучаць
attendee	наведнік
attention	увага
audible	чутны
audio file	гукавы файл
audio	аўдыёзапіс	
audio	гуказапіс	
authenticating	апазнаваньне
authentication	апазнаваньне
authenticator	апазнавальнік
authorization	упаўнаважаньне	
automatically	самарушна
auto-refresh	самарушна абнаўляцца
auto	самарушна
awake time	дзейны час
backed up	захавалі адноўку
background data	злучацца на заднім пляне
background	задні плян
background	тло
Backup & reset	Адноўка ды ўзнаўленьне
backup	адноўка
back up	захаваць адноўку
Back	«Назад»
bad	кепскі
band	паласа
bank	банк -у
bars	паліцы
bar	паліца
baseband	злучар
batch	зборны
Bathing Cat	Кацяня ў ваньне
battery level	узровень зараду батарэі
battery	батарэя
bcc	сьляпая копія (СК; «blind carbon copy»)
Begin	«Пачаць»
bill	аплата
blink	мігцець
blink	міргаць
blocked	забаронены
block	затрымваць
Blogger	Блоґер
blogger	блоґер -а
bluetooth	bluetooth
Bluetooth	Bluetooth
BluetoothShare manager	кіраўнік дзяліцца па Bluetooth
bookmarks	закладкі
bookmark	закладка
booting	першагрузіцца
booting	першагрузка
bootloader	ладоўнік запуску
bootloader	пачатковы ладоўнік
boot	першагрузіцца
brightness	яркасьць
broadcasts	апавяшчэньні
broadcast	рассылаць
browser	аглядальнік
browser	аглядальнік -а
build	зборка
busybox	busybox
buttons	кнопкі
button	кнопка
caches	запасьнікі
cache	запасьнік
call-forwarding	перасылаць выклікі
call log	гісторыя выклікаў
calls	выклікі
call	выклік
call	выклікаць
camcorder	відэакамэра
Cancel	Скасаваць
cancel	спыняць
candy	ахоўнік экрану
cannot	нельга
cannot	не ўдаецца
can't be	немагчыма
can't	нельга
captcha	???
caption	подпіс
car mode	стан «у машыне»
carrier	апэратар
catalogs	пералікі
catalog	пералік	Маецца на ўвазе catalog як пералік праґрамаў.
category	катэґорыя
category	пералік
CA	сьведчальны асяродак
cc	копія («carbon copy»)
certificates	пасьведчаньні
certificate	пасьведчаньне
changelog	гісторыя зьмяненьняў
charger	зарада
charging	зараджаецца
chats	гамана
chats	гамана
chats	гутаркі
chat	гутарка
chat	гутаркі
chat	гутарыць
check in	адзначацца
check-in	адзначацца
checkin	адзначацца
Checkout	Каса
CID	азначальнік ячэйкі («Cell Identification», «Cell ID»)
circles	колы
clear	ачышчаць (сьпіс)
clear	прыбраць (складнікі)
clipboard	кішэня
close	зачыняць
closing	зачыняецца
Cloud to Device	абмен між воблакам і прыладаю
coarse	грубы
codec	кодэк
codename	найменьне
columns	слупкі
comment added	выказаліся
comments	выказваньні
comments	выказваньні
comments	заўвагі
comment	выказацца
comment	выказваньне
comment	заўвага
company	таварыства
compatibility zoom	суладнае павелічэньне
compatibility	суладнасьць
complete	заканчваць
component	складнік
composer	укладальнік
compose	набіраць
computer	кампутар
computer	кампутар -а
conference call	выклік да нарады
conference	нарада
confidential	сакрэтны
configuration	настаўленьне
configured	наставілі
configure	настаўляць
connected	злучыліся
connecting	злучаемся
Contact me	Зьвязацца з аўтарам
Contact me	Зьвязацца са мною
contact	зьвязвацца
contact	кантакт
container	зьмяшчальня
content	зьмесьціва
Continue	Працягваць
contributors	саўдзельнікі
contributor	саўдзельнік
conversations	размовы
conversation	размова
converting	ператвараецца
cookies	біркі
cookie	бірка
copy	перапісваць
correct	адпаведны
could not	нельга
could not	не магчы
could not	ня здолець
couldn\'t	нельга
couldn't	немагчыма
county	акруга
CPU	працэсар -у
CPU	ЦП
crash	аварыя
credentials	даверчыя лісты
credentials	пасьведчаньні
credential	даверчыя лісты
credential	пасьведчаньне
currency	грашовая адзінка
cursor	указальнік
Customer Care	служба падтрымкі
custom	уласны
CyanogenMod	CyanogenMod
databases	базы зьвестак
data	дадзеныя
data	зьвесткі
dBm	дБм
debug	выпраўляць
debug	папраўчы
declined	адмовілі
declined	адхілілі
decline	адмовіць
decline	адхіліць
decoding	расшыфроўваць
default screen	пачатковы экран
delete	выдаляць
delete	сьціраць (файлы)
deleting	сьціраецца
delivery report	справаздача па дастаўленым
desktop	стальніца
destination	кірунак
details	падрабязнасьці
detected	выявілі
detect	выяўляць
developed by	распрацоўца
developer	распрацоўнік
development	распрацоўніцтва
device admin	кіраўнік прылады
devices	прылады
device	прылада
dial pad	наборнік
dialpad	наборнік
dial	набіраць
dictionary	слоўнік -а
Did you mean	можа, мелася на ўвазе
dim	прыцямняць
Directions & Navigation	Шляхі ды навіґацыя
directions	шляхі
direction	шлях
discard	адкідаць
discharging	разраджаецца
disconnected	адлучыліся
disconnecting	адлучаемся
discoverability	бачнасьць
DockBar	латок-паліца
dock	латок
dock	латок -тка
domain	вузел
Domestic Partner	Супольнік па сям’і
Done	Зроблена
double-tap	падвойны націск
downloaded	спампавалі
downloader	спампоўвальнік
Download Manager	Кіраўнік спампоўванага
